"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Colombia","COL","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7157098485299.98","404212702200","-5919951382199.98","-14983694447800","-9180577016999.98","-18834169914800","-32794260809500","-40939481321600","-47198886847600","-60865760755700","-56814000000000","-50606000000000","-49561000000000","-58646587618700","",
"Comoros","COM","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-43431000000","-52320735000","-58479735900","-51384122400","-55073419800","-69947395600","-69388358200","-72507388500","-71766706500","-73812699100","-81287881640","-85752890550","",
"Cabo Verde","CPV","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-36823154500","-33093673500","-35443099200","-38913583200","-38111256200","-25172356400","-19888231100","-28631350900","-22359807500","-25768860800","-35574832300","-34337343000","",
"Costa Rica","CRI","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-737300000","-581600000","-179800000","466300000","456800000","597400000","366600000","720800000","2214200000","970000000","2299600000","2898900000","4527000000","3566000000","4196000000","4467000000","4123000000","3870000000","2827000000","1252000000","1412000000","1346000000","",
"Curacao","CUW","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1619099000","-643867000","-296290000","311701000.000002","195585000.000002","413761000.000002","223932000.000002","-286124000.000002","16288000.000002","",
"Czech Republic","CZE","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33137437000","162523646300","111740712800","95566477700","40185979900","21286539200","-47261341800","-36026500200","-2618118900","854917700","3911071200","-15795855900","-64779362200","-67703028500","-36300481800","53330085400","117756925900","89374677000","118785682100","138459446900","157744568000","238185743900","294596307300","298724495000","283356556200","275689000000","340988923000","391614462900","351767941700","",
